Data;IPA-EP-DI - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas, Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_IPADI12;
1962.07;2,469755E-12;
1962.08;2,51276E-12;
1962.09;2,574197E-12;
1962.10;2,65021E-12;
1962.11;2,85527E-12;
1962.12;3,003225E-12;
1963.01;3,299135E-12;
1963.02;3,527556E-12;
1963.03;3,745595E-12;
1963.04;3,761169E-12;
1963.05;3,935081E-12;
1963.06;4,181673E-12;
1963.07;4,293288E-12;
1963.08;4,469796E-12;
1963.09;4,742344E-12;
1963.10;5,030467E-12;
1963.11;5,204379E-12;
1963.12;5,500289E-12;
1964.01;5,959728E-12;
1964.02;6,294573E-12;
1964.03;6,660567E-12;
1964.04;6,91235E-12;
1964.05;7,114814E-12;
1964.06;7,44966E-12;
1964.07;7,924673E-12;
1964.08;8,176456E-12;
1964.09;8,526875E-12;
1964.10;8,921422E-12;
1964.11;9,668984E-12;
1964.12;1,012842E-11;
1965.01;1,063977E-11;
1965.02;1,082666E-11;
1965.03;1,129389E-11;
1965.04;1,149895E-11;
1965.05;1,168843E-11;
1965.06;1,184677E-11;
1965.07;1,21297E-11;
1965.08;1,230621E-11;
1965.09;1,245936E-11;
1965.10;1,280978E-11;
1965.11;1,301743E-11;
1965.12;1,330815E-11;
1966.01;1,452034E-11;
1966.02;1,480587E-11;
1966.03;1,507063E-11;
1966.04;1,585453E-11;
1966.05;1,633733E-11;
1966.06;1,663843E-11;
1966.07;1,728217E-11;
1966.08;1,766114E-11;
1966.09;1,814654E-11;
1966.10;1,863453E-11;
1966.11;1,877989E-11;
1966.12;1,884478E-11;
1967.01;1,96183E-11;
1967.02;2,013744E-11;
1967.03;2,04022E-11;
1967.04;2,080973E-11;
1967.05;2,080453E-11;
1967.06;2,092134E-11;
1967.07;2,165592E-11;
1967.08;2,173639E-11;
1967.09;2,204268E-11;
1967.10;2,246578E-11;
1967.11;2,284216E-11;
1967.12;2,299011E-11;
1968.01;2,383372E-11;
1968.02;2,44463E-11;
1968.03;2,501736E-11;
1968.04;2,530029E-11;
1968.05;2,550535E-11;
1968.06;2,603747E-11;
1968.07;2,643461E-11;
1968.08;2,670975E-11;
1968.09;2,737685E-11;
1968.10;2,799462E-11;
1968.11;2,84904E-11;
1968.12;2,85527E-11;
1969.01;2,909001E-11;
1969.02;2,940149E-11;
1969.03;2,920422E-11;
1969.04;2,951311E-11;
1969.05;2,979604E-11;
1969.06;3,06682E-11;
1969.07;3,147771E-11;
1969.08;3,209946E-11;
1969.09;3,289913E-11;
1969.10;3,363936E-11;
1969.11;3,408358E-11;
1969.12;3,405386E-11;
1970.01;3,458704E-11;
1970.02;3,506078E-11;
1970.03;3,565301E-11;
1970.04;3,553452E-11;
1970.05;3,606751E-11;
1970.06;3,692622E-11;
1970.07;3,757769E-11;
1970.08;3,840689E-11;
1970.09;3,914732E-11;
1970.10;3,96803E-11;
1970.11;3,997631E-11;
1970.12;4,034944E-11;
1971.01;4,1072E-11;
1971.02;4,172347E-11;
1971.03;4,278944E-11;
1971.04;4,357626E-11;
1971.05;4,441509E-11;
1971.06;4,565457E-11;
1971.07;4,626768E-11;
1971.08;4,66396E-11;
1971.09;4,735132E-11;
1971.10;4,794977E-11;
1971.11;4,852332E-11;
1971.12;4,900228E-11;
1972.01;4,989755E-11;
1972.02;4,697759E-11;
1972.03;5,171419E-11;
1972.04;5,209434E-11;
1972.05;5,228171E-11;
1972.06;5,282554E-11;
1972.07;5,358645E-11;
1972.08;5,435942E-11;
1972.09;5,502434E-11;
1972.10;5,560954E-11;
1972.11;5,628089E-11;
1972.12;5,681227E-11;
1973.01;5,785735E-11;
1973.02;5,852006E-11;
1973.03;5,932496E-11;
1973.04;5,999108E-11;
1973.05;6,05813E-11;
1973.06;6,121289E-11;
1973.07;6,190894E-11;
1973.08;6,255498E-11;
1973.09;6,323095E-11;
1973.10;6,414751E-11;
1973.11;6,494337E-11;
1973.12;6,563721E-11;
1974.01;6,733777E-11;
1974.02;6,917108E-11;
1974.03;7,237299E-11;
1974.04;7,652962E-11;
1974.05;7,954818E-11;
1974.06;8,093526E-11;
1974.07;8,16295E-11;
1974.08;8,261434E-11;
1974.09;8,40468E-11;
1974.10;8,54148E-11;
1974.11;8,678702E-11;
1974.12;8,887578E-11;
1975.01;9,061289E-11;
1975.02;9,291833E-11;
1975.03;9,387425E-11;
1975.04;9,536757E-11;
1975.05;9,73049E-11;
1975.06;9,968123E-11;
1975.07;1,017236E-10;
1975.08;1,046252E-10;
1975.09;1,072871E-10;
1975.10;1,101215E-10;
1975.11;1,12434E-10;
1975.12;1,149594E-10;
1976.01;1,180705E-10;
1976.02;1,224117E-10;
1976.03;1,269191E-10;
1976.04;1,313768E-10;
1976.05;1,353356E-10;
1976.06;1,383273E-10;
1976.07;1,442919E-10;
1976.08;1,512819E-10;
1976.09;1,566087E-10;
1976.10;1,600822E-10;
1976.11;1,62832E-10;
1976.12;1,665753E-10;
1977.01;1,716831E-10;
1977.02;1,76543E-10;
1977.03;1,841341E-10;
1977.04;1,920465E-10;
1977.05;1,984929E-10;
1977.06;2,016257E-10;
1977.07;2,054413E-10;
1977.08;2,072487E-10;
1977.09;2,104619E-10;
1977.10;2,152816E-10;
1977.11;2,209046E-10;
1977.12;2,257244E-10;
1978.01;2,325524E-10;
1978.02;2,407861E-10;
1978.03;2,492206E-10;
1978.04;2,57856E-10;
1978.05;2,66893E-10;
1978.06;2,765325E-10;
1978.07;2,833604E-10;
1978.08;2,913933E-10;
1978.09;2,992254E-10;
1978.10;3,088649E-10;
1978.11;3,183035E-10;
1978.12;3,227216E-10;
1979.01;3,337669E-10;
1979.02;3,46017E-10;
1979.03;3,667017E-10;
1979.04;3,805585E-10;
1979.05;3,881898E-10;
1979.06;4,020465E-10;
1979.07;4,193172E-10;
1979.08;4,454241E-10;
1979.09;4,821747E-10;
1979.10;5,131013E-10;
1979.11;5,420197E-10;
1979.12;5,811801E-10;
1980.01;6,233528E-10;
1980.02;6,460458E-10;
1980.03;6,880177E-10;
1980.04;7,338052E-10;
1980.05;7,862199E-10;
1980.06;8,366263E-10;
1980.07;9,173569E-10;
1980.08;9,800135E-10;
