spec,beta,se,F,adj05,se_tf05,t_tf05,ci95_lo,ci95_hi,adj01,se_tf01,t_tf01,ci99_lo,ci99_hi
"T2 col 1 - IHS(deforest), benchmark",-.0503304061164254,.0235166983426506,10.10711364159347,1.740960417072395,.0409416409547867,-1.229320685314178,-.130574548488733,.0299137362558822,3.388191769962702,.0796790837812643,-.6316639666012333,-.2555701008136357,.1549092885807849
T2 col 2 - ln(deforest+0.01),-.074271584636372,.039949132530268,10.10711364159347,1.740960417072395,.0695498584315758,-1.067889803247285,-.210586803367357,.062043634094613,3.388191769962702,.1353553220562033,-.5487156582253365,-.4229237484930801,.2743805792203361
T2 col 3 - deforest/muni_area,-.0243706441363572,.0122841658532757,10.10711364159347,1.740960417072395,.0213862465073053,-1.139547518449882,-.0662869173858013,.0175456291130869,3.388191769962702,.0416211096449256,-.5855356655376545,-.1315795053719363,.0828382170992219
T2 col 4 - deforest/mean_def,-.0452120401658907,.0243319176734657,10.10711364159347,1.740960417072395,.042360905540968,-1.067305799734742,-.1282378900335885,.0378138097018071,3.388191769962702,.0824412032086465,-.548415578693893,-.2575664821856154,.167142401853834
T3 col 7 - cluster state-year,-.0503304061164254,.0287874203516736,9.397154248808599,1.81425403909022,.0522276936480118,-.9636727682372276,-.1526948054695572,.0520339932367064,3.792337925466782,.1091716259760061,-.461020944466716,-.3315378462825753,.2308770340497245
