terrai_codigo;terrai_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;data_em_estudo;tit_em_estudo;data_delimitada;tit_delimitada;data_declarada;tit_declarada;data_homologada;tit_homologada;data_regularizada;tit_regularizada
26501;Manoa/Pium;Bonfim                                  ;RR;43336,7308;Regularizada;Tradicionalmente ocupada;;;;;;;1982-02-16;Decreto nº 86.924, de 16 de fevereiro 1982;1988-11-22;Matr. 9.336  Lv. 2/RG  Fl. 1V/2V
17302;Manoki;Brasnorte;MT;250539,8293;Declarada;Tradicionalmente ocupada;2000-11-08;Portaria nº 1144, de 8 de Novembro de 2000;2002-11-13;Despacho nº 181, de 13 de novembro de 2002;2008-08-04;Portaria n° 1429, de 4 de agosto de 2008;;;;
26601;Mapari;Japurá, Tonantins, Fonte Boa;AM;157246,227;Homologada;Tradicionalmente ocupada;1997-08-11;Portaria nº 743, de 11 de agosto de 1997;2006-03-31;Despacho n° 27, de 31 de março de 2006;2007-08-14;Portaria n° 1393, de 14 de agosto de 2007;2015-04-17;Decreto de 17 de abril de 2015;;
26701;Maraã Urubaxi;Santa Isabel do Rio Negro, Maraã;AM;94405,0733;Regularizada;Tradicionalmente ocupada;;;;;1993-09-30;PD  361;1998-12-11;Decreto de 11 de dezembro de 1998;1999-01-29;Matr. 150  Lv. 2-A  Fl. 140
65401;Maracaxi;Aurora do Pará                          ;PA;720;Declarada;Tradicionalmente ocupada;2007-08-21;Portaria n° 821, de 21 de agosto de 2007;2011-01-26;Despacho nº 005, de 26 de janeiro de 2011;2012-04-11;Portaria nº 595, de 11 de abril de 2012;;;;
26801;Maraitá;Amaturá                                 ;AM;53038,0644;Regularizada;Tradicionalmente ocupada;1998-06-09;Portaria nº 579, de 9 de junho de 1998;2003-03-14;Despacho nº 23, de 14 de março de 2003;2004-03-25;Portaria nº 892, de 25 de março de 2004;2006-11-01;Decreto de 1° de novembro de 2006;2009-03-18;Matr. 675, Lv. 2-D, Fls. 96
26901;Maraiwatsede;Alto Boa Vista, Bom Jesus do Araguaia, São Félix do Araguaia ;MT;165241,2291;Regularizada;Tradicionalmente ocupada;;;;;1993-09-30;PD 363 de 30/09/93;1998-12-11;Decreto de 11 de novembro de 1998;1999-04-08;Matr. 12.670  Lv. 2-RG  Fl. 001/V
27001;Marajai;Alvarães                                ;AM;1196,3486;Regularizada;Tradicionalmente ocupada;2012-11-20;Portaria Migração;;;;;1991-10-29;Decreto nº 288, de 29 de outubro de 1991;1991-12-05;Matr. 01  Lv. 2-A  Fl. 32
27101;Maranduba;Araguacema, Santa Maria das Barreiras;PA/TO;375,1538;Regularizada;Tradicionalmente ocupada;2000-03-17;Portaria nº 162, de 17 de março de 2000;2001-09-27;Despacho nº 94, de 27 de dezembro de 2001;2002-12-18;Portaria nº 2527, de 18 de dezembro de 2002;2005-04-19;Decreto de 19 de abril de 2005;2005-12-26;Matr. 25.471, Lv. 2-CL, Fl. -
27201;Marechal Rondon;Paranatinga                             ;MT;98500;Regularizada;Tradicionalmente ocupada;;;;;;;1996-10-02;Decreto de 2 de outubro de 1996;1996-12-16;Matr. 3.810  Lv. 2-Z  Fl. 193
55101;Maró;Santarém                                ;PA;42373;Delimitada;Tradicionalmente ocupada;2010-08-18;Portaria nº 1155, de 18 de agosto de 2010;2011-10-07;Despacho nº 107, de 7 de outubro de 2011;;;;;;
27501;Marrecas;Guarapuava, Turvo;PR;16838,5694;Regularizada;Dominial Indígena;;;;;;;;;;
27601;Massacara;Euclides da Cunha                       ;BA;8020,0802;Regularizada;Tradicionalmente ocupada;;;;;;;1991-12-24;Decreto de 24 de dezembro de 1991;1988-12-23;Matr. 2.813  Lv. 2-H  Fl. 577
27701;Massaco;Alta Floresta D'Oeste, São Francisco do Guaporé;RO;421895,0769;Regularizada;Tradicionalmente ocupada;;;;;1996-05-17;PD 305 de 17.05.96;1998-12-11;Decreto de 11 de dezembro de 1998;1999-03-15;Matr. 3.706  Lv. 2-S  Fl. 107
61101;Massekury/Kãmapa;Boca do Acre                            ;AM;0;Em Estudo;Tradicionalmente ocupada;2004-05-26;Portaria nº 617, de 26 de maio de 2004;;;;;;;;
27801;Massiambu;Palhoça                                 ;SC;0;Em Estudo;Tradicionalmente ocupada;2011-11-16;Portaria nº 1571, de 16 de novembro de 2011;;;;;;;;
27901;Mata da Cafurna;Palmeira dos Índios                     ;AL;117,6007;Regularizada;Dominial Indígena;;;;;;;;;;
28001;Mata Medonha;Santa Cruz Cabrália                     ;BA;549,6226;Regularizada;Tradicionalmente ocupada;;;;;1993-09-30;PD 365 de 30/09/93;1996-05-23;Decreto de 23 de maio de 1996;1997-02-06;Matr. 18.365  Lv. 2-RG  Fl. 001
28002;Mata Medonha;Santa Cruz Cabrália                     ;BA;0;Em Estudo;Tradicionalmente ocupada;2011-05-12;Portaria nº 748, de 12 de maio de 2011;;;;;;;;
28101;Matintin;Santo Antônio do Içá , Tonantins;AM;21760,7012;Regularizada;Tradicionalmente ocupada;1998-06-09;Portaria nº 579, de 9 de junho de 1998;2003-10-03;Despacho nº 93, de 03 de outubro de 2003;2005-09-16;Portaria n° 1805, de 16 de setembro de 2005;2012-06-05;Decreto de 5 de junho de 2012;2013-03-07;Matr. 1.268, Lv. 2-G, Fl.68
68601;Mato Castelhano;Mato Castelhano                         ;RS;0;Em Estudo;Tradicionalmente ocupada;2010-03-05;Portaria nº 232, de 5 de março de 2010;;;;;;;;
53801;Mato Preto;Erechim, Erebango, Getulio Vargas;RS;4230;Declarada;Tradicionalmente ocupada;2012-11-20;Portaria Migração;2009-11-20;Despacho nº 58, de 20 de novembro de 2009;2012-09-21;Portaria nº 2222, de 21 de setembro de 2012;;;;
28201;Mawetek;Jutaí, Eurinepé;AM;115492,878;Regularizada;Tradicionalmente ocupada;1995-10-30;PP  1152;1999-04-27;DOU  ;1999-10-08;PD  558;2001-04-30;Decreto de 30 de abril de 2001;2002-06-05;Matr. 1.384 Lv.2-A-F Fl. 279
28301;Maxacali;Santa Helena de Minas, Bertópolis;MG;5305,6719;Regularizada;Tradicionalmente ocupada;;;;;1993-08-17;PD 317 de 17/08/93;1996-10-02;Decreto de 2 de outubro de 1996;1996-11-13;Matr. 3.427  Lv. 2-K  Fl. 143
28401;Mbiguaçu;Biguaçu                                 ;SC;59,1982;Regularizada;Tradicionalmente ocupada;;;;;2000-07-26;PD 613 de 26.07.00;2003-05-05;Decreto de 05 de maio de 2003;2003-08-14;Matr. 17.543, Livro 2-CT, Fls. 107
28402;Mbiguaçu;Biguaçu                                 ;SC;0;Em Estudo;Tradicionalmente ocupada;;;;;;;;;;
28501;Médio Rio Negro I;Santa Isabel do Rio Negro, São Gabriel da Cachoeira, Japura;AM;1776138,9968;Regularizada;Tradicionalmente ocupada;2003-12-16;Portaria nº 1247, de 16 de dezembro de 1993;;;1995-12-13;PD 1558 de 13/12/95;1998-04-14;Decreto de 14 de abril de 1998;1999-11-03;Matr. 182  Lv. 2-C  Fl. 01
28601;Médio Rio Negro II;Santa Isabel do Rio Negro, São Gabriel da Cachoeira;AM;316194,989;Regularizada;Tradicionalmente ocupada;2003-12-16;Portaria nº 1247, de 16 de dezembro de 1993;;;1995-12-13;PD  1559;1998-04-14;Decreto de 14 de abril de 1998;1999-11-03;Matr. 183  Lv. 2-C  Fl. 01
28701;Menkragnoti;Altamira, Matupa, Peixoto Azevedo, São Félix do Xingu;MT/PA;4914254,8206;Regularizada;Tradicionalmente ocupada;;;;;1991-11-25;PD 604 de 25/11/91;1993-08-19;Decreto de 19 de agosto de 1993;1993-09-27;Matr. 1.565  Lv. 2/RG  Fl. 01V/2
28802;Menkü;Brasnorte                               ;MT;146398,7469;Delimitada;Tradicionalmente ocupada;2012-11-20;Portaria Migração;2012-04-18;Despacho nº 125, de 18 de abril de 2012;;;;;;
28801;Menkü;Brasnorte                               ;MT;47094,8647;Regularizada;Tradicionalmente ocupada;;;;;;;1987-02-11;Decreto nº 94013, de 11 de fevereiro 1987;1987-04-22;Matr. 21.183,  Lv. 2-RG,  Fl. 01
28901;Meria;Alvarães                                ;AM;585,4932;Regularizada;Tradicionalmente ocupada;;;;;;;1993-10-04;Decreto de 04 de outubro de 1993;1993-11-10;Matr. 18  Lv. 2-A  Fl. 18
29001;Merure;General Carneiro , Barra do Garças;MT;82301,1363;Regularizada;Tradicionalmente ocupada;;;;;;;1987-02-11;Decreto nº 94014, de 11 de fevereiro de 1987;1996-03-28;Matr. 42.358  Lv. -  Fl. 42.358
29101;Miguel/Josefa;Autazes                                 ;AM;1628,8091;Regularizada;Tradicionalmente ocupada;1997-01-28;PP  078;1998-07-28;DOU  ;1999-07-15;PD  345;2001-04-20;Decreto de 20 de abril de 2001;2002-03-19;Matr. 856 Lv. 2-D Fl. 154
29201;Miratu;Uarini                                  ;AM;13198,788;Regularizada;Tradicionalmente ocupada;;;;;;;1991-12-24;Decreto nº 390, de 24 de dezembro de 1991;1992-01-14;Matr. 2.183  Lv. 2-I  Fl. 208
67001;Mocajá;Amambai, Coronel Sapucaia, Paranhos e Tacuru;MS;0;Em Estudo;Tradicionalmente ocupada;2010-09-28;Portaria nº 1421, de 28 de setembro de 2010;;;;;;;;
29301;Monte Caseros;Ibiraiaras, Muliterno;RS;1112,4105;Regularizada;Tradicionalmente ocupada;1993-08-16;Portaria nº 0742, de 16 de agosto de 1993;;;1996-12-17;PD 748 de 17/12/96;1998-12-11;Decreto de 11 de dezembro de 1998;1999-05-17;Matr. 18.145  Lv. 2-RG  Fl. -
73710;Monte Caseros - RS;Ibiraiaras, Muliterno;RS;0;Em Estudo;Tradicionalmente ocupada;2009-07-03;Portaria nº 687, de 3 de julho de 2009;;;;;;;;
29401;Morro Alto;São Francisco do Sul                    ;SC;893;Declarada;Tradicionalmente ocupada;2003-05-15;Portaria nº 428, de 15 de maio de 2003;2008-05-08;Despacho n° 17, de 8 de maio de 2008;2009-08-21;Portaria nº 2813, de 21 de agosto de 2009;;;;
29501;Morro Branco;Grajaú                                  ;MA;48,9804;Regularizada;Tradicionalmente ocupada;;;;;;;1983-08-09;Decreto nº 88.610, de 09 de agosto de 1983;1984-01-27;Matr. 3.427  Lv. 2-Q  Fl. 08
73001;Morro da Palha;Biguaçu                                 ;SC;240,3312;Regularizada;Reserva Indígena;;;;;;;;;;
69401;Morro do Coco;Viamão                                  ;RS;0;Em Estudo;Tradicionalmente ocupada;2009-09-28;Portaria nº 1179, de 28 de setembro de 2009;;;;;;;;
29601;Morro dos Cavalos;Palhoça                                 ;SC;1983,4901;Declarada;Tradicionalmente ocupada;2001-10-16;Portaria nº 838 de 16 de outubro de 2001;2002-11-17;Despacho nº 201, de 17 de novembro de 2002;2008-04-18;Portaria n° 771, de 18 de abril de 2008;;;;
29701;Moskow;Bonfim                                  ;RR;14212,9983;Regularizada;Tradicionalmente ocupada;1997-11-18;Portaria nº  1186, de 18 de novembro de 1997;2000-01-06;Despacho nº 1, de 6 de janeiro de 2000;2001-04-20;Portaria nº 364, de 20 de abril de 2001;2003-05-30;Decreto de 30 de maio de 2003;2004-11-24;Matr. 27.865, Lv. 2-RG, Fl. 001/v
73709;Muã Mimatxi (Fazenda Modelo Diniz);Itapecirica;MG;0;Encaminhada RI;Reserva Indígena;;;;;;;;;;
64701;Mundo Novo/Viração;Monsenhor Tabosa, Tamboril;CE;0;Em Estudo;Tradicionalmente ocupada;2010-04-14;Portaria nº 529, de 14 de abril de 2010;;;;;;;;
66001;Mundo Verde/Cachoeirinha;Teófilo Otoni                           ;MG;606,1916;Regularizada;Reserva Indígena;;;;;;;;;;
29801;Munduruku;Jacareacanga                            ;PA;2381795,7765;Regularizada;Tradicionalmente ocupada;1993-11-12;Portaria nº 1137, de 12 de novembro de 1993;1998-02-06;Despacho nº 3, de 06 de fevereiro de 1998;1998-12-11;Portaria nº 823, de 11 de dezembro de 1998;2004-02-25;Decreto de 25 de fevereiro de 2004;2004-04-28;Matr. 5.480, Lv. 2-RG, Fl. 01/02
58001;Munduruku-Taquara;Belterra                                ;PA;25323;Delimitada;Tradicionalmente ocupada;2003-08-13;Portaria nº 799 de 13 de agosto de 2003;2009-10-29;Despacho nº 51, de 29 de outubro de 2009;;;;;;
29901;Muratuba;Autazes                                 ;AM;0;Em Estudo;Tradicionalmente ocupada;2011-05-09;Portaria nº 712, de 9 de maio de 2011;;;;;;;;
30001;Muriru;Bonfim , Canta;RR;5555,9436;Regularizada;Tradicionalmente ocupada;1997-04-04;Portaria nº 316, de 04 de abril de 1997;1999-04-09;Despacho nº 10, de 09 de abril de 1999;2001-04-20;Portaria nº 357, de 20 de abril de 2001;2003-06-23;Decreto de 23 de junho de 2003;2007-09-13;Matr. 34.849, Lv. 2-RG, Fls. 001
30101;Murutinga/Tracaja;Autazes                                 ;AM;13286;Delimitada;Tradicionalmente ocupada;2011-10-31;Portaria nº 1499, de 31 de outubro de 2011;2012-07-30;Despacho nº 422, de 30 de julho de 2012;;;;;;
30201;Nambikwara;Comodoro                                ;MT;1011961,4852;Regularizada;Tradicionalmente ocupada;;;;;;;1990-01-10;Decreto nº 9.814, de 10 de janeiro de 1990;1987-04-10;Matr. 1.517  Lv. 2-RG  Fl. 01/03
30301;Ñande Ru Marangatu;Antônio João                            ;MS;9317,216;Homologada;Tradicionalmente ocupada;1999-04-09;Portaria nº 199, de 09 de abril de 1999;;;2002-10-30;Portaria nº 1456, de 30 de outubro de 2002;2005-03-28;Decreto de 28 de março de 2005;;
30401;Natal/Felicidade;Autazes                                 ;AM;313,3411;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto de 29 de outubro de 1991;1992-02-25;Matr. 533  Lv. 2-B  Fl. 193
56601;Nauá;Mâncio Lima                             ;AC;0;Em Estudo;Tradicionalmente ocupada;2003-11-14;Portaria nº 1071, de 14 de novembro de 2003;;;;;;;;
30501;Nhamundá/Mapuera;Oriximiná, Faro, Urucará, Nhamundá;AM/PA;1049520,0002;Regularizada;Tradicionalmente ocupada;;;;;;;1989-08-17;Decreto nº 98.063, de 17 de agosto de 1989;1990-06-15;Matr. 1.029  Lv. 2-A  Fl. 229
30601;Nioaque;Nioaque                                 ;MS;3029,3529;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto de 29 de outubro de 1991;1991-11-21;Matr. 881  Lv. 2/RG  Fl. 01
30701;Nonoai;Rio dos Índios, Nonoai, Planalto, Gramado dos Loureiros;RS;19830;Declarada;Tradicionalmente ocupada;2012-11-20;Portaria Migração;;;;;;;;
73721;Nonoai/Rio da Várzea;Trindade do Sul, Nonoai, Liberato Salzano, Planalto, Gramado dos Loureiros;RS;0;Em Estudo;Tradicionalmente ocupada;2009-07-03;Portaria nº 686, de 3 de julho de 2009;;;;;;;;
30801;Nonoai/Rio da Várzea;Trindade do Sul, Nonoai, Liberato Salzano, Planalto, Gramado dos Loureiros;RS;16415,4443;Regularizada;Tradicionalmente ocupada;;;;;1998-12-11;PD 822 de 11.12.98;2003-02-10;Decreto de 10 de fevereiro de 2003;2003-07-02;Matr. 5.084, Lv. 2-RG, Ficha 01
64301;Norotsurã;Agua Boa, Campinápolis, Nova Xavantina;MT;0;Em Estudo;Tradicionalmente ocupada;2000-10-19;Portaria n° 1086, de 19 de outubro de 2000;;;;;;;;
30901;Nossa Senhora de Fátima;Miranda                                 ;MS;88,888;Regularizada;Reserva Indígena;;;;;;;;;;
31001;Nova Esperança do Rio Jandiatuba;Amaturá, São Paulo de Olivença;AM;20003,928;Regularizada;Tradicionalmente ocupada;1998-06-09;Portaria nº 579, de 9 de junho de 1998;2000-10-06;Despacho nº  , de 6 de outubro de 2000;2001-11-06;Portaria nº 1010, de 06 de novembro de 2001;2004-10-27;Decreto de 27 de outubro de 2004;2006-06-26;Matr. 657, Lv. 2-D, Fl. 77
31101;Nova Jacundá;Rondon do Pará                          ;PA;196,9043;Regularizada;Dominial Indígena;;;;;;;;;;
31201;Nove de Janeiro;Humaitá                                 ;AM;228777,0999;Regularizada;Tradicionalmente ocupada;;;;;;;1997-11-03;Decreto de 3 de novembro de 1997;1998-07-28;Matr. 2.528  Lv. 2-I  Fl. 274
31301;Nukini;Mâncio Lima                             ;AC;27263,5212;Regularizada;Tradicionalmente ocupada;2012-11-20;Portaria Migração;;;;;1991-12-24;Decreto de 24 de dezembro de 1991;1996-05-06;Matr. 61  Lv. 2-A  Fl. 62
31402;Ofayé-Xavante;Brasilândia                             ;MS;484;Regularizada;Reserva Indígena;;;;;;;;;;
31401;Ofayé-Xavante;Brasilândia                             ;MS;1937,625;Declarada;Tradicionalmente ocupada;;;;;1992-05-28;PD 264 de 28/05/92;;;;
31501;Ouro;Boa Vista                               ;RR;13572,9696;Regularizada;Tradicionalmente ocupada;;;;;;;1982-02-17;Decreto nº 86931, de 17 de fevereiro 1982;1988-11-22;Matr. 9.338  Lv. 2/RG  Fl. 01
31601;Pacaas Novas;Guajará-Mirim                           ;RO;279906,3833;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto de 29 de outubro de 1991;1992-04-03;Matr. 4.046  Lv. 2-T  Fl. 80
55401;Pacajá;Portel                                  ;PA;0;Em Estudo;Tradicionalmente ocupada;2003-06-26;Portaria nº 615, de 26 de junho de 2003;;;;;;;;
31701;Pacheca;Camaquã                                 ;RS;1852,205;Regularizada;Tradicionalmente ocupada;;;;;1996-05-17;PD 304 de 17.05.96;2000-08-01;Decreto de 1 de agosto de 2000;2000-09-19;Matr. 26.393  Lv. 2-RG  Fl. 01/02
31901;Padre;Autazes                                 ;AM;797,511;Regularizada;Tradicionalmente ocupada;1998-10-09;Portaria nº 969, de 9 de outubro de 1998;1999-12-21;Despacho nº 87, de 21 de dezembro de 1999.;2000-08-10;Portaria MJ nº 679, de 10 de agosto de 2000.;2003-05-05;Decreto de 05 de maio de 2003;2003-09-17;Av.1.0747, Lv. 2-D, Fl.48
71901;Pakurity;Cananeia;SP;0;Em Estudo;Tradicionalmente ocupada;2011-08-30;Portaria nº 1262, de 30 de agosto de 2011;;;;;;;;
32002;Palmas;Abelardo Luz, Palmas;PR/SC;3800,8794;Regularizada;Tradicionalmente ocupada;;;2002-09-25;Despacho nº 149, de 25 de setembro de 2002;2004-12-23;Portaria nº 3894, de 23 de dezembro de 2004;2007-04-19;Decreto de 19 de abril de 2007;2009-03-23;Matr. 12.907, Lv. RG, Ficha 12.907
64801;Panambi - Lagoa Rica;Douradina, Itaporã;MS;12196;Delimitada;Tradicionalmente ocupada;;;2011-12-09;Despacho nº 524, de 9 de dezembro de 2011;;;;;;
32101;Panambizinho;Dourados                                ;MS;1272,8035;Regularizada;Tradicionalmente ocupada;;;;;1995-12-13;PD 1560 de 13/12/95;2004-10-27;Decreto de 27 de outubro de 2004;2005-02-02;Matr. 75.027, Lv. RG, Fl. 01
32201;Panará;Altamira, Matupá, Guarantã do Norte;MT/PA;499740,005;Regularizada;Tradicionalmente ocupada;;;;;1996-11-01;PD 667 de 01/11/96;2001-04-30;Decreto de 30 de abril de 2001;2002-07-03;Matr. 24.220 Lv. 2-AAX Fls. 248
71001;Pankará da Serra do Arapuá;Carnaubeira da Penha                    ;PE;0;Em Estudo;Tradicionalmente ocupada;2010-08-23;Portaria nº 1160, de 23 de agosto de 2010;;;;;;;;
32301;Pankararé;Glória, Paulo Afonso, Rodelas;BA;29597,3322;Regularizada;Tradicionalmente ocupada;;;;;;;1996-01-05;Decreto de 05 de janeiro de 1996;1996-01-16;Matr. 5888  Lv. 2AB-RG  Fl. 44
32401;Pankararu;Jabora, Petrolandiia, Tacaratu;PE;8377,2819;Regularizada;Tradicionalmente ocupada;2012-11-20;Portaria Migração;;;;;1987-07-14;Decreto nº 94603, de 14 de julho de 1987;2007-12-24;Matr. 10.617, Lv. 2-RGI, Ficha 01
32602;Paquiçamba;Anapu, Senador Jose Porfirio e Vitória do Xingu;PA;15733;Declarada;Tradicionalmente ocupada;;;2012-10-22;Despacho nº 787, de 22 de outubro de 2012;2014-05-30;Portaria nº 904, de 30 de maio de 2014;;;;
32601;Paquiçamba;Vitória do Xingu                        ;PA;4384,2668;Regularizada;Tradicionalmente ocupada;;;;;;;1991-12-24;Decreto nº 388, de 24 de dezembro de 1991;1990-11-12;Matr. 103  Lv. 2-A  Fl. 108
32701;Parabubure;Água Boa, Campinápolis, Nova Xavantina;MT;224447,3367;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto de 29 de outubro de 1991;1988-07-19;Matr. 4.791,  Lv. 2-RG,  Fl. 01V/2
32801;Paracuhuba;Autazes                                 ;AM;927,5376;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto nº 310, de 29 de outubro de 1991;1992-02-25;Matr. 530  Lv. 2-B  Fl. 190
32901;Parakanã;Itupiranga, Novo Repartimento;PA;351697,41;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto de 29 de outubro de 1991;1987-05-18;Matr. 004  Lv. 2-A  Fl. 002
33001;Paraná do Arauató;Itacoatiara                             ;AM;5915,445;Regularizada;Tradicionalmente ocupada;1996-05-31;Portaria nº 389, de 31 de maio de 1996;;;;;2004-10-27;Decreto de 27 de outubro de 2004;2005-03-15;Matr. 13.370, Lv. 2/RG, Fl. 01
33101;Parana do Boa Boa;Japurá, Santa Isabel do Rio Negro;AM;240545,8478;Regularizada;Tradicionalmente ocupada;;;;;1993-09-30;PD  364;1997-11-03;Decreto de 3 de novembro de 1997;2001-05-21;Matr. 51  Lv. 2-RG  Fl. 1
33201;Parana do Paricá;Maraã                                   ;AM;7866,32;Regularizada;Tradicionalmente ocupada;;;;;1993-08-16;PD  306;1998-09-08;Decreto de 8 de setembro de 1998;2000-09-25;Matr. 160  Lv. 2-A  Fl. 151
33301;Parati-Mirim;Parati                                  ;RJ;79,1997;Regularizada;Tradicionalmente ocupada;;;;;1994-06-30;PD 437 de 30/06/94;1996-01-05;Decreto de 05 de  janeiro de 1996;1996-03-08;Matr. 1.882  Lv. 2-A  Fl. 2467
33302;Parati-Mirim;Parati;RJ;0;Em Estudo;Tradicionalmente ocupada;2008-03-05;Portaria n° 184, de 5 de março de 2008;;;;;;;;
33401;Paresi;Tangará da Serra                        ;MT;563586,5345;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto de 29 de outubro de 1991;1987-02-20;Matr. 5.014,  Lv. 2-RG,  Fl. 1-5v
33501;Parque do Araguaia;Formoso do Araguaia, Lagoa da Confusão e Pium;TO;1358499,4784;Regularizada;Tradicionalmente ocupada;;;;;;;1998-04-14;Decreto de 14 de abril de 1998;1998-09-22;Matr. 687  Lv. L-2/C  Fl. 187
33601;Parque do Aripuanã;Juína , Vilhena;MT/RO;1603245,9806;Regularizada;Tradicionalmente ocupada;;;;;;;1989-11-20;Decreto de 20 de novembro de 1989;1988-09-22;Matr. 4.146  Lv. 2/RG  Fl. 001
33701;Parque do Tumucumaque;Almeirim, Oriximiná, Laranjal do Jari, Óbidos, Alenquer;AP/PA;3071067,8764;Regularizada;Tradicionalmente ocupada;;;;;1968-07-16;PD  DD-62.998;1997-11-03;Decreto de 3 de novembro de 1997;1998-08-18;Matr. 99  Lv. 2-A  Fl. 99
33801;Parque do Xingu;Nova Ubiratã, Canarana, Feliz Natal, Gaúcha do Norte, Marcelândia, Paranatinga, Querência, São Felix do Araguaia e São Felix do Xingu;MT;2642003,9374;Regularizada;Tradicionalmente ocupada;;;;;;;1991-01-25;Decreto de 25 de janeiro de 1991;1987-07-22;Matr. 3.293,  Lv. 2-RG,  Fl. 001
70901;Passo Grande;Barra do Ribeiro                        ;RS;0;Em Estudo;Tradicionalmente ocupada;2010-03-01;Portaria nº 214, de 01 de março de 2010;;;;;;;;
65301;Passo Grande do Rio Forquilha;Cacique Doble, Sananduva;RS;1916;Declarada;Tradicionalmente ocupada;2012-11-20;Portaria Migração;2008-08-13;Despacho n° 33, de 13 de agosto de 2008;2011-04-25;Portaria nº 498, de 25 de abril de 2011;;;;
33901;Patauá;Autazes                                 ;AM;615,885;Regularizada;Tradicionalmente ocupada;1998-10-09;Portaria nº 969, de 9 de outubro de 1998;2000-04-24;Despacho nº 21, de 24 de abril de 2000;2001-04-20;Portaria nº 362, de 20 de abril de 2001;2003-05-05;Decreto de 05 de maio de 2003;2003-09-17;Matr. 881, Lv.2-D, Fl. 181
42101;Paukalirajausu;Nova Lacerda, Vila Bela da Santissima Trindade;MT;8400;Delimitada;Tradicionalmente ocupada;;;;;;;1985-04-29;Decreto nº 91209, de 29 de abril de 1985;1985-08-19;Matr. 4.220  Lv. 2  Fl. 001
34201;Paumari do Cuniua;Tapauá                                  ;AM;42828,0481;Regularizada;Tradicionalmente ocupada;;;;;1992-11-16;PD  549;1997-11-03;Decreto de 3 de novembro de 1997;1997-12-31;Matr. 755  Lv. 2-E  Fl. 45
34302;Paumari do Lago Manissuã;Tapaua;AM;22970,0651;Regularizada;Tradicionalmente ocupada;;;;;;;2003-05-05;Decreto de 05 de maio de 2003;2003-10-02;Averbação da matr. 792, Lv. 2-E, Fl. 82
34401;Paumari do Lago Marahã;Lábrea                                  ;AM;118766,8862;Regularizada;Tradicionalmente ocupada;;;;;1992-05-28;PD  262;1998-09-08;Decreto de 8 de setembro de 1998;1999-10-19;Matr. 2.032  Lv. 2-H  Fl. 125
34501;Paumari do Lago Paricá;Tapauá                                  ;AM;15792,112;Regularizada;Tradicionalmente ocupada;;;;;1989-06-23;PD  376;1998-09-08;Decreto de 8 de setembro de 1998;1999-01-18;Matr. 800  Lv. 2E-RG  Fl. 90
34601;Paumari do Rio Ituxi;Lábrea                                  ;AM;7572,412;Regularizada;Tradicionalmente ocupada;;;;;1991-10-11;PD  525;1998-12-11;Decreto de 11 de dezembro de 1998;1999-02-04;Matr. 2.008  Lv. 2-H  Fl. 90
71801;Peguaoty;Miracatu , Sete Barras;SP;0;Em Estudo;Tradicionalmente ocupada;2011-11-03;Portaria nº 1509, de 3 de novembro de 2011;;;;;;;;
34701;Peneri/Tacaquiri;Pauini                                  ;AM;189870,9641;Regularizada;Tradicionalmente ocupada;;;;;1992-05-28;PD  251;1997-11-03;Decreto de 3 de novembro de 1997;1999-05-17;Matr. 281  Lv. 2-A  Fl. 90
34801;Pequizal;Nova Lacerda                            ;MT;9886,8211;Regularizada;Tradicionalmente ocupada;;;;;1992-06-19;PD 297 de 19/06/92;1996-01-05;Decreto de 05 de janeiro de 1996;1996-01-18;Matr. 10.834  Lv. 2/RG  Fl. 01
55201;Pequizal do Naruvôtu;Canarana, Gaúcha do Norte;MT;27980;Declarada;Tradicionalmente ocupada;2003-07-07;Portaria nº 653, de 07 de julho de 2003;2006-01-11;Despacho n° 02, de 11 de janeiro de 2006;2009-06-04;Portaria nº 1845, de 4 de junho de 2009;;;;
34901;Perigara;Barão de Melgaço                        ;MT;10740,4115;Regularizada;Tradicionalmente ocupada;;;;;;;1991-12-24;Decreto nº 385, de 24 de dezembro de 1991;1992-02-17;Matr. 46.357  Lv. 2/RG  Fl. 01
35001;Peruíbe;Peruíbe                                 ;SP;480,4737;Regularizada;Tradicionalmente ocupada;;;;;;;1994-05-16;Decreto de 16 de maio de 1994;1994-06-22;Matr. 176.125,  Lv.2-RG,  Fl. 01
70701;Petim/Arasaty;Guaíba                                  ;RS;0;Em Estudo;Tradicionalmente ocupada;2010-03-01;Portaria nº 214, de 01 de março de 2010;;;;;;;;
35101;Piaçaguera;Peruíbe                                 ;SP;2795;Declarada;Tradicionalmente ocupada;2007-11-27;Portaria n° 1170, de 27 de novembro de 2007;2009-04-23;Despacho nº 26, de 23 de abril de 2009;2011-04-25;Portaria nº 500, de 25 de abril de 2011;;;;
