terrai_codigo;terrai_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;data_em_estudo;tit_em_estudo;data_delimitada;tit_delimitada;data_declarada;tit_declarada;data_homologada;tit_homologada;data_regularizada;tit_regularizada
21302;Karajá Santana do Araguaia;Santa Maria das Barreiras;PA;0;Em Estudo;Tradicionalmente ocupada;2008-07-25;Portaria n° 860/PRES/08;;;;;;;;
21301;Karajá Santana do Araguaia;Santa Maria das Barreiras               ;PA;1485,6063;Regularizada;Tradicionalmente ocupada;;;;;;;1991-12-24;Decreto nº 397, de 24 de dezembro de 1991;1988-03-10;Matr. 826  Lv. 2-D  Fl. 001
21401;Karapotó;São Sebastião                           ;AL;1242,5168;Regularizada;Reserva Indígena;;;;;;;;;1990-01-01;Não Informado
21501;Kararaô;Altamira                                ;PA;330837,5422;Regularizada;Tradicionalmente ocupada;;;;;1971-07-13;PD  DD-68.914;1998-04-14;Decreto de 14 de abril de 1998;1999-03-04;Matr. 22.890  Lv. 2-AAS  Fl. 284
21601;Karipuna;Nova Mamoré , Porto Velho;RO;152929,8599;Regularizada;Tradicionalmente ocupada;;;;;1996-05-17;PD 306 de 17.05.96;1998-09-08;Decreto de 8 de setembro de 1998;1998-10-22;Matr. 13.871  Lv. 2-RG  Fl. 001
21702;Kariri-Xocó;São Brás, Porto Real do Colégio;AL;4694,8823;Declarada;Tradicionalmente ocupada;1998-07-14;Portaria nº 744, de 14  de julho de 1998;2005-06-01;Despacho n° 37, de 1° de junho de 2005;2006-12-15;Portaria n° 2358, de 15 de dezembro de 2006;;;;
21701;Kariri-Xocó;São Brás, Porto Real do Colégio;AL;699,358;Regularizada;Tradicionalmente ocupada;1984-09-18;Portaria nº 1765/E, de 18 de setembro de 1984;;;1991-11-25;PD 600 de 25/11/91;1993-10-04;Decreto de 04 de outubro de 1993;1999-03-17;Matr. 1.358  Lv. -  Fl. 1.358
21802;Karitiana;Porto Velho;RO;0;Em Estudo;Tradicionalmente ocupada;2011-06-16;Portaria nº 921, de 16 de junho de 2011;;;;;;;;
21801;Karitiana;Porto Velho                             ;RO;89682,138;Regularizada;Tradicionalmente ocupada;;;;;;;1986-08-06;Decreto nº 93.068, de 06 de agosto de 1986;1986-12-04;Matr. 2.677,  Lv. 2-RG,  Fl. 001
73735;Karugwá;Barão de Antonina;SP;0;Em Estudo;Tradicionalmente ocupada;;;;;;;;;;
21901;Katukina/Kaxinawá;Feijó                                   ;AC;23474,0358;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto de 29 de outubro de 1991;1989-10-05;Matr. 430  Lv. 2-C  Fl. 93
61401;Kawahiva do Rio Pardo (restrição de uso);Colniza                             ;MT;411848;Delimitada;Tradicionalmente ocupada;2006-08-30;Portaria n° 1126, de 30 de agosto de 2006;2011-02-24;Despacho nº 8, de 24 de fevereiro de 2011;;;;;;
22001;Kaxarari;Porto Velho, Lábrea;AM/RO;145889,9849;Regularizada;Tradicionalmente ocupada;2012-11-20;Portaria Migração;;;1991-10-10;PD 514 de 10/10/91;1992-08-13;Decreto de 13 de agosto de 1992;1988-12-23;Matr. 4.909  Lv. 2-RG  Fl. 001
73712;Kaxarari - AM RO;Porto Velho, Lábrea;AM/RO;0;Em Estudo;Tradicionalmente ocupada;2012-09-19;Portaria nº 1172, de 19 desetembro de 2012;;;;;;;;
22101;Kaxinawá Ashaninka do Rio Breu;Marechal Thaumaturgo, Jordão;AC;31277,8622;Regularizada;Tradicionalmente ocupada;;;1994-03-28;Resumo publicado no DOU;1996-10-02;Portaria Declaratória nº  600;2001-04-30;Decreto de 30 de abril de 2001;2002-06-17;Matr. 961 Lv. 2-D Fl. 218
22201;Kaxinawá Colônia Vinte e Sete;Tarauacá                                ;AC;105,1664;Regularizada;Tradicionalmente ocupada;;;;;;;1991-10-29;Decreto n° 268, de 29 de outubro de 1991;1985-09-04;Matr. 321  Lv. 2-B  Fl. 141
22301;Kaxinawá da Praia do Carapanã;Tarauacá                                ;AC;60698,7189;Regularizada;Tradicionalmente ocupada;1993-11-25;Portaria nº 1204 de 25 de novembro de 1993;;;1998-06-25;PD  455;2001-04-30;Decreto de 30 de abril de 2001;2002-01-02;Matr. 949  Lv. 2-D  Fl. 206
